age,int,YES,"",,""
gender,varchar(255),YES,"",,""
time_spent,int,YES,"",,""
platform,varchar(255),YES,"",,""
interests,varchar(255),YES,"",,""
demographics,varchar(255),YES,"",,""
profession,varchar(255),YES,"",,""
income,int,YES,"",,""
indebt,tinyint(1),YES,"",,""
isHomeOwner,tinyint(1),YES,"",,""
Owns_Car,tinyint(1),YES,"",,""
